review_id,product_id,customer_id,review_date,rating,review_text
5001,1001,2001,2024-02-08,4,Loved the bluetooth speaker!
5002,1002,2002,2024-02-09,5,Loved the ceramic vase!
5003,1003,2003,2024-02-10,5,Loved the camping lantern!
5004,1004,2004,2024-02-11,5,Loved the face serum!
5005,1005,2005,2024-02-12,5,Loved the puzzle kit!
5006,1006,2006,2024-02-13,5,Loved the running shoes!
5007,1007,2007,2024-02-14,5,Loved the chef knife!
5008,1008,2008,2024-02-15,3,Loved the thriller novel!
5009,1009,2009,2024-02-16,4,Loved the yoga mat!
5010,1010,2010,2024-02-17,4,Loved the garden hose!
5011,1011,2011,2024-02-18,5,Loved the wireless mouse!
5012,1012,2012,2024-02-19,5,Loved the wall clock!
5013,1013,2013,2024-02-20,5,Loved the hammock!
5014,1014,2014,2024-02-21,5,Loved the hair dryer!
5015,1015,2015,2024-02-22,5,Loved the board game!
5016,1016,2016,2024-02-23,3,Loved the denim jacket!
5017,1017,2017,2024-02-24,3,Loved the espresso maker!
5018,1018,2018,2024-02-25,5,Loved the cookbook!
5019,1019,2019,2024-02-26,4,Loved the resistance bands!
5020,1020,2020,2024-02-27,3,Loved the planter set!
5021,1021,2021,2024-02-28,4,Loved the noise-canceling headphones!
5022,1022,2022,2024-02-29,3,Loved the floor lamp!
5023,1023,2023,2024-03-01,5,Loved the travel backpack!
5024,1024,2024,2024-03-02,3,Loved the lipstick duo!
5025,1025,2025,2024-03-03,3,Loved the rc car!
5026,1026,2026,2024-03-04,3,Loved the winter coat!
5027,1027,2027,2024-03-05,5,Loved the air fryer!
5028,1028,2028,2024-03-06,4,Loved the historical fiction!
5029,1029,2029,2024-03-07,3,Loved the foam roller!
5030,1030,2030,2024-03-08,5,Loved the pruning shears!
5031,1031,2031,2024-03-09,4,Loved the smartwatch!
5032,1032,2032,2024-03-10,4,Loved the throw blanket!
5033,1033,2033,2024-03-11,3,Loved the portable grill!
5034,1034,2034,2024-03-12,3,Loved the moisturizer!
5035,1035,2035,2024-03-13,4,Loved the stem kit!
5036,1036,2036,2024-03-14,5,Loved the hiking boots!
5037,1037,2037,2024-03-15,5,Loved the blender!
5038,1038,2038,2024-03-16,3,Loved the mystery series!
5039,1039,2039,2024-03-17,5,Loved the jump rope!
5040,1040,2040,2024-03-18,3,Loved the seed starter!
5041,1041,2041,2024-03-19,3,Loved the gaming keyboard!
5042,1042,2042,2024-03-20,3,Loved the table runner!
5043,1043,2043,2024-03-21,4,Loved the kayak paddle!
5044,1044,2044,2024-03-22,3,Loved the hair mask!
5045,1045,2045,2024-03-23,5,Loved the drone!
5046,1046,2046,2024-03-24,3,Loved the rain jacket!
5047,1047,2047,2024-03-25,4,Loved the slow cooker!
5048,1048,2048,2024-03-26,3,Loved the fantasy saga!
5049,1049,2049,2024-03-27,5,Loved the kettlebell!
5050,1050,2050,2024-03-28,4,Loved the outdoor lights!
